,optimizer,task,iteration,mean_rank,lb,ub
15,cocabo,xgboost_opt,15.0,3.5833333333333335,2.95,4.23375
16,cocabo,xgboost_opt,16.0,3.6333333333333333,3.05,4.25
17,cocabo,xgboost_opt,17.0,3.6333333333333333,3.0,4.283333333333333
18,cocabo,xgboost_opt,18.0,3.466666666666667,2.86625,4.100416666666666
19,cocabo,xgboost_opt,19.0,3.6333333333333333,2.9833333333333334,4.25
20,cocabo,xgboost_opt,20.0,3.65,3.06625,4.266666666666667
21,cocabo,xgboost_opt,21.0,3.533333333333333,2.9329166666666664,4.13375
22,cocabo,xgboost_opt,22.0,3.5,2.9166666666666665,4.133333333333334
23,cocabo,xgboost_opt,23.0,3.4833333333333334,2.8666666666666667,4.083333333333333
24,cocabo,xgboost_opt,24.0,3.566666666666667,2.9495833333333334,4.217083333333333
25,cocabo,xgboost_opt,25.0,3.4166666666666665,2.86625,4.016666666666667
26,cocabo,xgboost_opt,26.0,3.433333333333333,2.8333333333333335,4.05
27,cocabo,xgboost_opt,27.0,3.4,2.783333333333333,4.017083333333333
28,cocabo,xgboost_opt,28.0,3.3833333333333333,2.81625,4.066666666666666
29,cocabo,xgboost_opt,29.0,3.3833333333333333,2.7666666666666666,4.000416666666666
30,cocabo,xgboost_opt,30.0,3.466666666666667,2.8829166666666666,4.133333333333334
31,cocabo,xgboost_opt,31.0,3.433333333333333,2.8333333333333335,3.9833333333333334
32,cocabo,xgboost_opt,32.0,3.3666666666666667,2.7829166666666665,3.95
33,cocabo,xgboost_opt,33.0,3.3666666666666667,2.76625,3.95
34,cocabo,xgboost_opt,34.0,3.3833333333333333,2.7666666666666666,4.000416666666666
35,cocabo,xgboost_opt,35.0,3.433333333333333,2.8666666666666667,4.05
36,cocabo,xgboost_opt,36.0,3.466666666666667,2.85,4.050416666666666
37,cocabo,xgboost_opt,37.0,3.3333333333333335,2.75,3.9837499999999997
38,cocabo,xgboost_opt,38.0,3.35,2.75,3.9833333333333334
39,cocabo,xgboost_opt,39.0,3.2666666666666666,2.6166666666666667,3.9
40,cocabo,xgboost_opt,40.0,3.283333333333333,2.6829166666666664,3.9166666666666665
41,cocabo,xgboost_opt,41.0,3.2666666666666666,2.65,3.9166666666666665
42,cocabo,xgboost_opt,42.0,3.2333333333333334,2.61625,3.8837499999999996
43,cocabo,xgboost_opt,43.0,3.1666666666666665,2.549583333333333,3.800416666666666
44,cocabo,xgboost_opt,44.0,3.1166666666666667,2.45,3.817083333333333
45,cocabo,xgboost_opt,45.0,3.1666666666666665,2.533333333333333,3.8504166666666664
46,cocabo,xgboost_opt,46.0,3.1,2.46625,3.8
47,cocabo,xgboost_opt,47.0,3.1,2.4829166666666667,3.800416666666666
48,cocabo,xgboost_opt,48.0,3.1333333333333333,2.4833333333333334,3.8504166666666664
49,cocabo,xgboost_opt,49.0,3.1333333333333333,2.466666666666667,3.8833333333333333
50,cocabo,xgboost_opt,50.0,3.1666666666666665,2.5166666666666666,3.917083333333333
51,cocabo,xgboost_opt,51.0,3.066666666666667,2.3829166666666666,3.8
52,cocabo,xgboost_opt,52.0,3.1,2.3833333333333333,3.8504166666666664
53,cocabo,xgboost_opt,53.0,3.1,2.46625,3.8
54,cocabo,xgboost_opt,54.0,3.0833333333333335,2.4,3.7837499999999995
