,optimizer,iteration,mean_time,lb,ub
2210,casmopolitan,2210.0,63.52187843756242,59.383887958526614,68.06244515234773
2310,casmopolitan,2310.0,67.87429861588912,63.88106429576874,71.9436135432937
2410,casmopolitan,2410.0,65.97372341156006,57.46384568322789,73.99551020372998
2510,casmopolitan,2510.0,69.54716060378335,59.26786851286888,80.00408708995039
2610,casmopolitan,2610.0,77.24727669629183,65.07444601546634,88.70395321304147
2710,casmopolitan,2710.0,83.02416279099204,70.64220504760742,95.29742772958495
2810,casmopolitan,2810.0,86.06161516362971,69.11845942681487,101.02670807188208
2910,casmopolitan,2910.0,85.6060335852883,68.4221164361997,101.90059292045507
110,cocabo,110.0,2.201053524017334,1.8307372170686722,2.896231564283371
210,cocabo,210.0,2.502303147315979,2.095908746123314,3.220857163667679
310,cocabo,310.0,2.672383213043213,2.409471407532692,3.0989815008640287
410,cocabo,410.0,3.3374657154083254,2.890297365784645,4.116105494499206
510,cocabo,510.0,4.0893138408660885,3.552636892795563,4.9047545170784
610,cocabo,610.0,5.804510927200317,5.376877514719963,6.402916343808172
710,cocabo,710.0,6.894593858718872,6.490340920686722,7.461220380663872
810,cocabo,810.0,8.188527512550355,7.641159520149231,8.912547556757927
910,cocabo,910.0,10.097541737556458,9.513453437685968,10.816501146554947
1010,cocabo,1010.0,12.208929324150086,11.631876683831216,12.857302139997483
1110,cocabo,1110.0,15.971870970726012,15.327268275618554,16.64269616365433
1210,cocabo,1210.0,18.18624289035797,17.386035366058348,19.047368727326393
1310,cocabo,1310.0,21.649667024612427,20.94838854074478,22.27422101855278
1410,cocabo,1410.0,25.918017554283143,25.182666460871694,26.600935785770414
1510,cocabo,1510.0,29.07719202041626,28.24673672616482,29.811204151511195
1610,cocabo,1610.0,35.68059639930725,34.796292462348944,36.4323519563675
1710,cocabo,1710.0,39.15556235313416,38.22914251804352,40.002626788616176
1810,cocabo,1810.0,45.91632344722748,44.89375492334366,46.79625379085541
1910,cocabo,1910.0,49.41414172649384,48.25721635699272,50.40225679814816
2010,cocabo,2010.0,54.77472088336945,51.50064489006996,57.07248401463032
2110,cocabo,2110.0,58.53710513114929,54.55745997428894,61.76180264830589
2210,cocabo,2210.0,71.6490966796875,67.10277139425278,75.63825625002384
2310,cocabo,2310.0,75.11017866134644,69.59652893662452,79.92793193936349
2410,cocabo,2410.0,75.13447573184968,70.18602718472481,80.3262524819374
2510,cocabo,2510.0,80.9515780210495,75.38688457429409,87.42779799401761
2610,cocabo,2610.0,84.59062874317169,74.19902011454106,95.34146430194377
2710,cocabo,2710.0,90.0981749534607,76.1632657045126,103.4881169885397
2810,cocabo,2810.0,89.35628790855408,70.93487395942212,106.23559756696224
2910,cocabo,2910.0,89.78223605155945,71.41274307012557,108.07181125283242
