,optimizer,task_name,iteration,mean_rank,lb,ub,mean_proportion
132,PFN-Casmopolitan,xgboost_opt,132.0,,0.31666666666666665,0.6337499999999996,0.48333333333333334
133,PFN-Casmopolitan,xgboost_opt,133.0,,0.3333333333333333,0.65,0.48333333333333334
134,PFN-Casmopolitan,xgboost_opt,134.0,,0.31666666666666665,0.65,0.48333333333333334
135,PFN-Casmopolitan,xgboost_opt,135.0,,0.31666666666666665,0.65,0.48333333333333334
136,PFN-Casmopolitan,xgboost_opt,136.0,,0.3333333333333333,0.65,0.48333333333333334
137,PFN-Casmopolitan,xgboost_opt,137.0,,0.3333333333333333,0.6666666666666666,0.5
138,PFN-Casmopolitan,xgboost_opt,138.0,,0.35,0.6666666666666666,0.5
139,PFN-Casmopolitan,xgboost_opt,139.0,,0.3333333333333333,0.65,0.5
140,PFN-Casmopolitan,xgboost_opt,140.0,,0.34958333333333336,0.6666666666666666,0.5
141,PFN-Casmopolitan,xgboost_opt,141.0,,0.3333333333333333,0.6666666666666666,0.5
142,PFN-Casmopolitan,xgboost_opt,142.0,,0.3333333333333333,0.65,0.5
143,PFN-Casmopolitan,xgboost_opt,143.0,,0.3333333333333333,0.65,0.48333333333333334
144,PFN-Casmopolitan,xgboost_opt,144.0,,0.31666666666666665,0.65,0.48333333333333334
145,PFN-Casmopolitan,xgboost_opt,145.0,,0.3333333333333333,0.65,0.5
146,PFN-Casmopolitan,xgboost_opt,146.0,,0.3333333333333333,0.6666666666666666,0.5
147,PFN-Casmopolitan,xgboost_opt,147.0,,0.35,0.6666666666666666,0.5
148,PFN-Casmopolitan,xgboost_opt,148.0,,0.35,0.6666666666666666,0.5
149,PFN-Casmopolitan,xgboost_opt,149.0,,0.3333333333333333,0.65,0.5
150,PFN-Casmopolitan,xgboost_opt,150.0,,0.35,0.6666666666666666,0.5
151,PFN-Casmopolitan,xgboost_opt,151.0,,0.35,0.65,0.5
152,PFN-Casmopolitan,xgboost_opt,152.0,,0.31666666666666665,0.6504166666666663,0.48333333333333334
153,PFN-Casmopolitan,xgboost_opt,153.0,,0.3329166666666667,0.65,0.48333333333333334
154,PFN-Casmopolitan,xgboost_opt,154.0,,0.31666666666666665,0.6337499999999996,0.48333333333333334
155,PFN-Casmopolitan,xgboost_opt,155.0,,0.35,0.6666666666666666,0.5166666666666667
156,PFN-Casmopolitan,xgboost_opt,156.0,,0.36666666666666664,0.6833333333333333,0.5166666666666667
157,PFN-Casmopolitan,xgboost_opt,157.0,,0.35,0.6670833333333329,0.5166666666666667
158,PFN-Casmopolitan,xgboost_opt,158.0,,0.36666666666666664,0.6833333333333333,0.5166666666666667
159,PFN-Casmopolitan,xgboost_opt,159.0,,0.34958333333333336,0.6833333333333333,0.5166666666666667
160,PFN-Casmopolitan,xgboost_opt,160.0,,0.38291666666666674,0.6833333333333333,0.5333333333333333
161,PFN-Casmopolitan,xgboost_opt,161.0,,0.36666666666666664,0.7,0.5333333333333333
162,PFN-Casmopolitan,xgboost_opt,162.0,,0.36666666666666664,0.6833333333333333,0.5333333333333333
163,PFN-Casmopolitan,xgboost_opt,163.0,,0.36666666666666664,0.6833333333333333,0.5333333333333333
164,PFN-Casmopolitan,xgboost_opt,164.0,,0.36666666666666664,0.6666666666666666,0.5166666666666667
165,PFN-Casmopolitan,xgboost_opt,165.0,,0.35,0.6833333333333333,0.5166666666666667
166,PFN-Casmopolitan,xgboost_opt,166.0,,0.35,0.6666666666666666,0.5166666666666667
167,PFN-Casmopolitan,xgboost_opt,167.0,,0.36666666666666664,0.6833333333333333,0.5166666666666667
168,PFN-Casmopolitan,xgboost_opt,168.0,,0.35,0.6833333333333333,0.5166666666666667
169,PFN-Casmopolitan,xgboost_opt,169.0,,0.36666666666666664,0.7,0.5333333333333333
170,PFN-Casmopolitan,xgboost_opt,170.0,,0.35,0.6666666666666666,0.5166666666666667
171,PFN-Casmopolitan,xgboost_opt,171.0,,0.36666666666666664,0.6833333333333333,0.5166666666666667
172,PFN-Casmopolitan,xgboost_opt,172.0,,0.36625,0.6504166666666663,0.5
173,PFN-Casmopolitan,xgboost_opt,173.0,,0.35,0.6666666666666666,0.5166666666666667
174,PFN-Casmopolitan,xgboost_opt,174.0,,0.36666666666666664,0.6833333333333333,0.5166666666666667
175,PFN-Casmopolitan,xgboost_opt,175.0,,0.35,0.6833333333333333,0.5166666666666667
176,PFN-Casmopolitan,xgboost_opt,176.0,,0.36666666666666664,0.6833333333333333,0.5166666666666667
177,PFN-Casmopolitan,xgboost_opt,177.0,,0.35,0.6833333333333333,0.5166666666666667
178,PFN-Casmopolitan,xgboost_opt,178.0,,0.35,0.6833333333333333,0.5166666666666667
179,PFN-Casmopolitan,xgboost_opt,179.0,,0.35,0.6833333333333333,0.5166666666666667
180,PFN-Casmopolitan,xgboost_opt,180.0,,0.35,0.6833333333333333,0.5166666666666667
181,PFN-Casmopolitan,xgboost_opt,181.0,,0.35,0.6666666666666666,0.5166666666666667
182,PFN-Casmopolitan,xgboost_opt,182.0,,0.35,0.6837499999999996,0.5166666666666667
183,PFN-Casmopolitan,xgboost_opt,183.0,,0.35,0.6666666666666666,0.5166666666666667
184,PFN-Casmopolitan,xgboost_opt,184.0,,0.38333333333333336,0.7166666666666667,0.55
185,PFN-Casmopolitan,xgboost_opt,185.0,,0.36666666666666664,0.7166666666666667,0.55
186,PFN-Casmopolitan,xgboost_opt,186.0,,0.38333333333333336,0.7,0.55
187,PFN-Casmopolitan,xgboost_opt,187.0,,0.4,0.7166666666666667,0.55
188,PFN-Casmopolitan,xgboost_opt,188.0,,0.38333333333333336,0.7,0.55
189,PFN-Casmopolitan,xgboost_opt,189.0,,0.3995833333333334,0.7333333333333333,0.5666666666666667
190,PFN-Casmopolitan,xgboost_opt,190.0,,0.38333333333333336,0.7166666666666667,0.55
191,PFN-Casmopolitan,xgboost_opt,191.0,,0.38333333333333336,0.7166666666666667,0.55
192,PFN-Casmopolitan,xgboost_opt,192.0,,0.38333333333333336,0.717083333333333,0.55
193,PFN-Casmopolitan,xgboost_opt,193.0,,0.38333333333333336,0.717083333333333,0.55
194,PFN-Casmopolitan,xgboost_opt,194.0,,0.36666666666666664,0.717083333333333,0.55
195,PFN-Casmopolitan,xgboost_opt,195.0,,0.34958333333333336,0.6833333333333333,0.5166666666666667
196,PFN-Casmopolitan,xgboost_opt,196.0,,0.35,0.6833333333333333,0.5166666666666667
197,PFN-Casmopolitan,xgboost_opt,197.0,,0.36666666666666664,0.6837499999999996,0.5166666666666667
198,PFN-Casmopolitan,xgboost_opt,198.0,,0.35,0.6833333333333333,0.5166666666666667
199,PFN-Casmopolitan,xgboost_opt,199.0,,0.35,0.6833333333333333,0.5166666666666667
200,PFN-Casmopolitan,xgboost_opt,200.0,,0.35,0.6666666666666666,0.5166666666666667
0,PFN-CoCaBO,xgboost_opt,0.0,,0.5,0.5,0.5
1,PFN-CoCaBO,xgboost_opt,1.0,,0.4666666666666667,0.75,0.6166666666666667
