,optimizer_name,task_name,n_training_data,mean_rank,lb,ub
81,casmopolitan,griewank,81.0,2.89,2.63,3.14025
100,casmopolitan,griewank,100.0,2.73,2.49,2.99
121,casmopolitan,griewank,121.0,2.37,2.16975,2.57
144,casmopolitan,griewank,144.0,2.57,2.3897500000000003,2.75025
169,casmopolitan,griewank,169.0,2.68,2.4497500000000003,2.89
196,casmopolitan,griewank,196.0,2.68,2.49,2.87
4,bodi,griewank,4.0,4.35,3.87,4.7902499999999995
9,bodi,griewank,9.0,5.14,4.74,5.5
16,bodi,griewank,16.0,5.04,4.60975,5.43
25,bodi,griewank,25.0,4.79,4.38,5.15
36,bodi,griewank,36.0,4.34,3.91,4.79
49,bodi,griewank,49.0,4.03,3.67,4.39
64,bodi,griewank,64.0,3.58,3.25,3.94
81,bodi,griewank,81.0,3.24,2.93975,3.5502499999999997
100,bodi,griewank,100.0,3.05,2.79,3.29025
121,bodi,griewank,121.0,2.66,2.47975,2.85
144,bodi,griewank,144.0,2.62,2.4,2.82
169,bodi,griewank,169.0,2.56,2.37,2.76
196,bodi,griewank,196.0,2.39,2.23,2.55
4,dummy_baseline,griewank,4.0,3.64,3.3697500000000002,3.91
9,dummy_baseline,griewank,9.0,4.02,3.68975,4.33
16,dummy_baseline,griewank,16.0,4.61,4.29,4.9
25,dummy_baseline,griewank,25.0,5.5,5.24,5.75
36,dummy_baseline,griewank,36.0,5.92,5.71,6.11025
49,dummy_baseline,griewank,49.0,6.47,6.28,6.65
64,dummy_baseline,griewank,64.0,6.9,6.84,6.96
81,dummy_baseline,griewank,81.0,6.95,6.91,6.99
100,dummy_baseline,griewank,100.0,6.99,6.97,7.0
121,dummy_baseline,griewank,121.0,7.0,7.0,7.0
144,dummy_baseline,griewank,144.0,7.0,7.0,7.0
169,dummy_baseline,griewank,169.0,7.0,7.0,7.0
196,dummy_baseline,griewank,196.0,7.0,7.0,7.0
4,pfn_cocabo_51,griewank,4.0,3.43,3.1,3.77
9,pfn_cocabo_51,griewank,9.0,2.56,2.26,2.8802499999999998
16,pfn_cocabo_51,griewank,16.0,2.59,2.34,2.89025
25,pfn_cocabo_51,griewank,25.0,2.43,2.17,2.7
36,pfn_cocabo_51,griewank,36.0,2.45,2.22,2.68
49,pfn_cocabo_51,griewank,49.0,2.62,2.38,2.85
64,pfn_cocabo_51,griewank,64.0,2.62,2.43,2.82
81,pfn_cocabo_51,griewank,81.0,3.06,2.83,3.28
100,pfn_cocabo_51,griewank,100.0,3.27,3.06,3.47
121,pfn_cocabo_51,griewank,121.0,3.62,3.47,3.77025
144,pfn_cocabo_51,griewank,144.0,3.57,3.4,3.73
169,pfn_cocabo_51,griewank,169.0,3.51,3.34,3.66
196,pfn_cocabo_51,griewank,196.0,3.49,3.29,3.67025
4,pfn_casmopolitan_16,griewank,4.0,3.34,3.04975,3.65
9,pfn_casmopolitan_16,griewank,9.0,2.75,2.5,3.01
16,pfn_casmopolitan_16,griewank,16.0,2.67,2.4,2.94
25,pfn_casmopolitan_16,griewank,25.0,2.83,2.58,3.08
36,pfn_casmopolitan_16,griewank,36.0,2.92,2.64975,3.20025
