,optimizer,comparison,task,iteration,mean_rank,lb,ub
153,PFN-CoCaBO,vs. PFNs,griewank,153.0,2.6,2.1666666666666665,3.0
154,PFN-CoCaBO,vs. PFNs,griewank,154.0,2.533333333333333,2.1333333333333333,2.966666666666667
155,PFN-CoCaBO,vs. PFNs,griewank,155.0,2.533333333333333,2.1333333333333333,2.9341666666666657
156,PFN-CoCaBO,vs. PFNs,griewank,156.0,2.533333333333333,2.1,2.966666666666667
157,PFN-CoCaBO,vs. PFNs,griewank,157.0,2.533333333333333,2.1325,2.966666666666667
158,PFN-CoCaBO,vs. PFNs,griewank,158.0,2.533333333333333,2.1,2.933333333333333
159,PFN-CoCaBO,vs. PFNs,griewank,159.0,2.6,2.2,3.033333333333333
160,PFN-CoCaBO,vs. PFNs,griewank,160.0,2.6,2.1666666666666665,3.033333333333333
161,PFN-CoCaBO,vs. PFNs,griewank,161.0,2.6333333333333333,2.2,3.1
162,PFN-CoCaBO,vs. PFNs,griewank,162.0,2.6333333333333333,2.2,3.066666666666667
163,PFN-CoCaBO,vs. PFNs,griewank,163.0,2.6333333333333333,2.1666666666666665,3.066666666666667
164,PFN-CoCaBO,vs. PFNs,griewank,164.0,2.6333333333333333,2.2325,3.066666666666667
165,PFN-CoCaBO,vs. PFNs,griewank,165.0,2.6333333333333333,2.1666666666666665,3.0674999999999994
166,PFN-CoCaBO,vs. PFNs,griewank,166.0,2.6333333333333333,2.1666666666666665,3.066666666666667
167,PFN-CoCaBO,vs. PFNs,griewank,167.0,2.6333333333333333,2.2,3.066666666666667
168,PFN-CoCaBO,vs. PFNs,griewank,168.0,2.6333333333333333,2.1666666666666665,3.066666666666667
169,PFN-CoCaBO,vs. PFNs,griewank,169.0,2.6333333333333333,2.2333333333333334,3.066666666666667
170,PFN-CoCaBO,vs. PFNs,griewank,170.0,2.6333333333333333,2.2,3.066666666666667
171,PFN-CoCaBO,vs. PFNs,griewank,171.0,2.6333333333333333,2.1666666666666665,3.066666666666667
172,PFN-CoCaBO,vs. PFNs,griewank,172.0,2.6333333333333333,2.1666666666666665,3.066666666666667
173,PFN-CoCaBO,vs. PFNs,griewank,173.0,2.6333333333333333,2.2,3.066666666666667
174,PFN-CoCaBO,vs. PFNs,griewank,174.0,2.6333333333333333,2.2,3.066666666666667
175,PFN-CoCaBO,vs. PFNs,griewank,175.0,2.6333333333333333,2.2,3.066666666666667
176,PFN-CoCaBO,vs. PFNs,griewank,176.0,2.6333333333333333,2.2333333333333334,3.066666666666667
177,PFN-CoCaBO,vs. PFNs,griewank,177.0,2.6666666666666665,2.2333333333333334,3.066666666666667
178,PFN-CoCaBO,vs. PFNs,griewank,178.0,2.6666666666666665,2.2333333333333334,3.066666666666667
179,PFN-CoCaBO,vs. PFNs,griewank,179.0,2.6666666666666665,2.2333333333333334,3.1333333333333333
180,PFN-CoCaBO,vs. PFNs,griewank,180.0,2.6333333333333333,2.2,3.033333333333333
181,PFN-CoCaBO,vs. PFNs,griewank,181.0,2.6333333333333333,2.2333333333333334,3.1
182,PFN-CoCaBO,vs. PFNs,griewank,182.0,2.6333333333333333,2.1991666666666667,3.033333333333333
183,PFN-CoCaBO,vs. PFNs,griewank,183.0,2.6333333333333333,2.2333333333333334,3.066666666666667
184,PFN-CoCaBO,vs. PFNs,griewank,184.0,2.6333333333333333,2.2,3.066666666666667
185,PFN-CoCaBO,vs. PFNs,griewank,185.0,2.6333333333333333,2.2,3.066666666666667
186,PFN-CoCaBO,vs. PFNs,griewank,186.0,2.6333333333333333,2.1666666666666665,3.066666666666667
187,PFN-CoCaBO,vs. PFNs,griewank,187.0,2.6333333333333333,2.2,3.066666666666667
188,PFN-CoCaBO,vs. PFNs,griewank,188.0,2.6333333333333333,2.2,3.1
189,PFN-CoCaBO,vs. PFNs,griewank,189.0,2.566666666666667,2.1333333333333333,3.0
190,PFN-CoCaBO,vs. PFNs,griewank,190.0,2.566666666666667,2.1333333333333333,2.966666666666667
191,PFN-CoCaBO,vs. PFNs,griewank,191.0,2.566666666666667,2.1,3.0
192,PFN-CoCaBO,vs. PFNs,griewank,192.0,2.566666666666667,2.1333333333333333,3.0
193,PFN-CoCaBO,vs. PFNs,griewank,193.0,2.566666666666667,2.165833333333333,3.033333333333333
194,PFN-CoCaBO,vs. PFNs,griewank,194.0,2.566666666666667,2.1666666666666665,3.0
195,PFN-CoCaBO,vs. PFNs,griewank,195.0,2.6,2.2,3.033333333333333
196,PFN-CoCaBO,vs. PFNs,griewank,196.0,2.6,2.1666666666666665,3.0
197,PFN-CoCaBO,vs. PFNs,griewank,197.0,2.566666666666667,2.1333333333333333,2.966666666666667
198,PFN-CoCaBO,vs. PFNs,griewank,198.0,2.533333333333333,2.1,2.9008333333333325
199,PFN-CoCaBO,vs. PFNs,griewank,199.0,2.533333333333333,2.1325,2.933333333333333
200,PFN-CoCaBO,vs. PFNs,griewank,200.0,2.533333333333333,2.1,2.966666666666667
0,PFN-Casmopolitan,vs. PFNs,griewank,0.0,2.5,2.5,2.5
1,PFN-Casmopolitan,vs. PFNs,griewank,1.0,2.433333333333333,2.1333333333333333,2.7333333333333334
2,PFN-Casmopolitan,vs. PFNs,griewank,2.0,2.433333333333333,2.1166666666666667,2.75
3,PFN-Casmopolitan,vs. PFNs,griewank,3.0,2.216666666666667,1.8833333333333333,2.5833333333333335
4,PFN-Casmopolitan,vs. PFNs,griewank,4.0,2.0166666666666666,1.6666666666666667,2.3833333333333333
5,PFN-Casmopolitan,vs. PFNs,griewank,5.0,2.033333333333333,1.7,2.3837499999999996
6,PFN-Casmopolitan,vs. PFNs,griewank,6.0,1.9333333333333333,1.5829166666666665,2.3
7,PFN-Casmopolitan,vs. PFNs,griewank,7.0,1.9333333333333333,1.5991666666666668,2.3
8,PFN-Casmopolitan,vs. PFNs,griewank,8.0,2.066666666666667,1.7,2.433333333333333
9,PFN-Casmopolitan,vs. PFNs,griewank,9.0,2.066666666666667,1.7333333333333334,2.4341666666666657
10,PFN-Casmopolitan,vs. PFNs,griewank,10.0,2.033333333333333,1.6666666666666667,2.4008333333333325
11,PFN-Casmopolitan,vs. PFNs,griewank,11.0,2.066666666666667,1.7,2.433333333333333
12,PFN-Casmopolitan,vs. PFNs,griewank,12.0,2.1,1.7666666666666666,2.433333333333333
