,optimizer,x_type,x_val,mean_overlap,lb,ub
4,pfn_casmopolitan_16,Number of Dimensions,4,0.8391961267515478,0.8330177755547129,0.8454494611938979
5,pfn_casmopolitan_16,Number of Dimensions,5,0.8352686316698605,0.8294099258829156,0.8408522198206446
6,pfn_casmopolitan_16,Number of Dimensions,6,0.8153502162610762,0.8079961721531966,0.8226010469161514
7,pfn_casmopolitan_16,Number of Dimensions,7,0.8232358955929808,0.818042371976048,0.8286476431713531
8,pfn_casmopolitan_16,Number of Dimensions,8,0.8172521452387379,0.8128789712106427,0.8216434403620465
9,pfn_casmopolitan_16,Number of Dimensions,9,0.8107743536408152,0.8034885326699303,0.8175537666854434
10,pfn_casmopolitan_16,Number of Dimensions,10,0.811001307810421,0.8063137957253598,0.8157689184977942
11,pfn_casmopolitan_16,Number of Dimensions,11,0.8143233177046536,0.8074028863806442,0.8218552798978294
12,pfn_casmopolitan_16,Number of Dimensions,12,0.8129140026474188,0.8080273667619133,0.8179451093586975
13,pfn_casmopolitan_16,Number of Dimensions,13,0.8103769200596416,0.8049129849186095,0.8157267939810068
14,pfn_casmopolitan_16,Number of Dimensions,14,0.8079840115092503,0.8017177704225087,0.8141835437307787
15,pfn_casmopolitan_16,Number of Dimensions,15,0.8027618913278088,0.7968947595703127,0.8090308204171447
16,pfn_casmopolitan_16,Number of Dimensions,16,0.7999050015940744,0.7944850039213902,0.8054467114415669
17,pfn_casmopolitan_16,Number of Dimensions,17,0.7929946461773343,0.7884583798873434,0.79778682475126
18,pfn_casmopolitan_16,Number of Dimensions,18,0.7847363712361981,0.7750119192596546,0.7931242953996634
2,pfn_bodi_24,Number of Dimensions,2,0.7988027308626587,0.7924354729156856,0.8050040112826803
3,pfn_bodi_24,Number of Dimensions,3,0.7720829084851372,0.7640739825460253,0.7799666577256922
4,pfn_bodi_24,Number of Dimensions,4,0.7527831223102803,0.7442725959188387,0.761115537389335
5,pfn_bodi_24,Number of Dimensions,5,0.7546445663338194,0.7460333924623608,0.76335091051667
6,pfn_bodi_24,Number of Dimensions,6,0.7561041995487552,0.7433841237328743,0.7687017010475681
7,pfn_bodi_24,Number of Dimensions,7,0.7540785597602017,0.7434454213173375,0.7644997733771857
8,pfn_bodi_24,Number of Dimensions,8,0.7415495343185022,0.7326893112302678,0.7505205952702696
9,pfn_bodi_24,Number of Dimensions,9,0.7669131784523897,0.75782371640249,0.7765773527941512
10,pfn_bodi_24,Number of Dimensions,10,0.7332033938879792,0.7246344355781514,0.7418108738245434
11,pfn_bodi_24,Number of Dimensions,11,0.7376189094488287,0.7232872980141729,0.7525778709325371
12,pfn_bodi_24,Number of Dimensions,12,0.7438538936085681,0.7351860308933437,0.7525944062052133
13,pfn_bodi_24,Number of Dimensions,13,0.7320171304920127,0.7194595377656766,0.7433261461472311
14,pfn_bodi_24,Number of Dimensions,14,0.7658540257148552,0.7572158150563804,0.774554750989376
15,pfn_bodi_24,Number of Dimensions,15,0.7189760631785245,0.7082312915900026,0.7303022531398499
16,pfn_bodi_24,Number of Dimensions,16,0.7529541345555966,0.7445525253447715,0.760483483626355
17,pfn_bodi_24,Number of Dimensions,17,0.7504102042544138,0.7442411274321318,0.7568247497666845
18,pfn_bodi_24,Number of Dimensions,18,0.7490429301564557,0.7366878655084141,0.7611742515377128
2,CoCaBO_dummy_baseline,Number of Dimensions,2,0.4023614076140272,0.3869667447310991,0.41856218271879586
3,CoCaBO_dummy_baseline,Number of Dimensions,3,0.47790548544978934,0.46312495743494697,0.49337255559588883
4,CoCaBO_dummy_baseline,Number of Dimensions,4,0.5048356686353521,0.49109434448501615,0.5191775878417968
5,CoCaBO_dummy_baseline,Number of Dimensions,5,0.5437063428527571,0.5274091309503635,0.5594618330241684
6,CoCaBO_dummy_baseline,Number of Dimensions,6,0.5833473768378801,0.5638745006631153,0.6055530036513115
7,CoCaBO_dummy_baseline,Number of Dimensions,7,0.5735885425004327,0.5571797206165602,0.5893886298842169
8,CoCaBO_dummy_baseline,Number of Dimensions,8,0.5721588628704819,0.560397177780122,0.585274809681362
9,CoCaBO_dummy_baseline,Number of Dimensions,9,0.6255579012403979,0.6100065697770545,0.6415540568531057
10,CoCaBO_dummy_baseline,Number of Dimensions,10,0.5977550030294269,0.5851452237710861,0.6110278012599257
11,CoCaBO_dummy_baseline,Number of Dimensions,11,0.5764977396818519,0.5538517099523952,0.5998836343547777
12,CoCaBO_dummy_baseline,Number of Dimensions,12,0.6232258576599734,0.6087984478325257,0.6356674987219036
13,CoCaBO_dummy_baseline,Number of Dimensions,13,0.5881238310387011,0.5722661187817143,0.6050518295315205
14,CoCaBO_dummy_baseline,Number of Dimensions,14,0.6821725945523234,0.6692953425670751,0.6944298517594595
15,CoCaBO_dummy_baseline,Number of Dimensions,15,0.5778190628518584,0.5618694719136943,0.5923069386839223
16,CoCaBO_dummy_baseline,Number of Dimensions,16,0.6730213884596375,0.6619011174391332,0.6846474911116542
17,CoCaBO_dummy_baseline,Number of Dimensions,17,0.6646003705020022,0.6549174716831462,0.6740029621158907
18,CoCaBO_dummy_baseline,Number of Dimensions,18,0.6654937203758404,0.6491686895115659,0.682522967260457
2,Casmopolitan_dummy_baseline,Number of Dimensions,2,0.3931525216831376,0.37638670781839667,0.4104934830242854
3,Casmopolitan_dummy_baseline,Number of Dimensions,3,0.47334765121005,0.45933663454992874,0.48865125480702015
4,Casmopolitan_dummy_baseline,Number of Dimensions,4,0.5231498211862785,0.5098034551075614,0.5370404475949039
5,Casmopolitan_dummy_baseline,Number of Dimensions,5,0.5687934282434661,0.5549498176102742,0.583843778442002
6,Casmopolitan_dummy_baseline,Number of Dimensions,6,0.6075547653987388,0.5890534578263046,0.6259377600708221
7,Casmopolitan_dummy_baseline,Number of Dimensions,7,0.6105409836563558,0.595789870561669,0.6255699185941457
8,Casmopolitan_dummy_baseline,Number of Dimensions,8,0.6279305356181086,0.617749203373871,0.6385663029261462
9,Casmopolitan_dummy_baseline,Number of Dimensions,9,0.6667671289821688,0.6532204522408407,0.6807360563303783
10,Casmopolitan_dummy_baseline,Number of Dimensions,10,0.6504965487785203,0.6409164182510366,0.6608240729925774
11,Casmopolitan_dummy_baseline,Number of Dimensions,11,0.6563700491358885,0.6405698030088794,0.6721343757194089
12,Casmopolitan_dummy_baseline,Number of Dimensions,12,0.6776484419001685,0.6675724511841983,0.688309508528015
13,Casmopolitan_dummy_baseline,Number of Dimensions,13,0.6617481637983288,0.6504095430147881,0.6726478865911213
14,Casmopolitan_dummy_baseline,Number of Dimensions,14,0.7076775315350926,0.6975974257167337,0.7181236525233957
15,Casmopolitan_dummy_baseline,Number of Dimensions,15,0.6757414513231309,0.6648932643750873,0.6873335939049482
16,Casmopolitan_dummy_baseline,Number of Dimensions,16,0.7087735028475545,0.6995747077329728,0.7179337951189787
17,Casmopolitan_dummy_baseline,Number of Dimensions,17,0.7091084179139994,0.7025947530894373,0.7156391966634003
18,Casmopolitan_dummy_baseline,Number of Dimensions,18,0.7098845087517428,0.6970478301594389,0.7224012738284491
2,BODi_dummy_baseline,Number of Dimensions,2,0.40032461345769416,0.38259696001387733,0.41646710717947455
3,BODi_dummy_baseline,Number of Dimensions,3,0.4910445193466286,0.47690117371364454,0.5055218898734051
4,BODi_dummy_baseline,Number of Dimensions,4,0.5487130182919637,0.5346918020155668,0.5624572903759258
